Breadth First Search,,,,,
Starting State,Solution?,Depth,Path,Node Count,Time Elapsed
104352867,Yes,23,"['104352867', '140352867', '142350867', '142305867', '142035867', '142835067', '142835607', '142835670', '142830675', '142803675', '142873605', '142873065', '142073865', '142703865', '102743865', '120743865', '123740865', '123745860', '123745806', '123745086', '123045786', '123405786', '123450786', '123456780']",139599,6.37699604
41873652,Yes,18,"['041873652', '401873652', '410873652', '413870652', '413872650', '413872605', '413872065', '413072865', '413702865', '413720865', '413725860', '413725806', '413725086', '413025786', '013425786', '103425786', '123405786', '123450786', '123456780']",37302,1.402967215
431650278,Yes,23,"['431650278', '431605278', '431065278', '031465278', '301465278', '361405278', '361450278', '360451278', '306451278', '036451278', '436051278', '436251078', '436251708', '436201758', '436210758', '430216758', '403216758', '413206758', '413026758', '013426758', '103426758', '123406758', '123456708', '123456780']",128174,5.461208582
74628513,No,31,"['074628513', '674028513', '674528013', '674528103', '674528130', '674520138', '670524138', '607524138', '627504138', '627054138', '027654138', '207654138', '257604138', '257634108', '257634018', '257034618', '257304618', '257340618', '250347618', '205347618', '025347618', '325047618', '325407618', '325417608', '325417680', '325410687', '325401687', '325481607', '325481067', '325081467', '325801467', '305821467']",181440,9.020418882
148526370,Yes,26,"['148526370', '148520376', '148502376', '148572306', '148572036', '148072536', '148702536', '108742536', '180742536', '182740536', '182746530', '182746503', '182746053', '182046753', '182406753', '182460753', '182463750', '182463705', '182403765', '102483765', '120483765', '123480765', '123485760', '123485706', '123405786', '123450786', '123456780']",175843,8.479278803
742305861,No,30,"['742305861', '742365801', '742365810', '742360815', '742306815', '702346815', '720346815', '726340815', '726304815', '726314805', '726314085', '726014385', '026714385', '206714385', '216704385', '216784305', '216784350', '216780354', '216708354', '216078354', '216378054', '216378504', '216308574', '216038574', '016238574', '106238574', '160238574', '168230574', '168234570', '168234507', '168234057']",181440,8.670827389
317620548,Yes,23,"['317620548', '317602548', '317062548', '017362548', '107362548', '170362548', '172360548', '172306548', '172036548', '172536048', '172536408', '172536480', '172530486', '172503486', '102573486', '120573486', '123570486', '123576480', '123576408', '123506478', '123056478', '123456078', '123456708', '123456780']",128517,5.704201698
184560237,Yes,25,"['184560237', '184506237', '184536207', '184536270', '184530276', '184503276', '184053276', '084153276', '804153276', '840153276', '843150276', '843105276', '843015276', '043815276', '403815276', '413805276', '413085276', '413285076', '413285706', '413205786', '413025786', '013425786', '103425786', '123405786', '123450786', '123456780']",166190,7.491897821
256314078,Yes,20,"['256314078', '256014378', '256104378', '206154378', '026154378', '126054378', '126354078', '126354708', '126304758', '126034758', '026134758', '206134758', '236104758', '236140758', '230146758', '203146758', '023146758', '123046758', '123406758', '123456708', '123456780']",68122,2.853940725
743618502,No,31,"['743618502', '743618052', '743018652', '743108652', '743180652', '743182650', '743182605', '743182065', '743082165', '043782165', '403782165', '483702165', '483720165', '480723165', '408723165', '428703165', '428730165', '428735160', '428735106', '428735016', '428035716', '428305716', '428315706', '428315076', '428015376', '028415376', '208415376', '280415376', '285410376', '285416370', '285416307', '285416037']",181440,8.737179995
,,,,,
Averages,,25,,138806.7,6.419891715
,,,,,
Depth First Search,,,,,
Starting State,Solution?,Depth,Path,Node Count,Time Elapsed
104352867,Yes,28059,0,50228,1.232553005
41873652,Yes,50520,0,170064,5.099317551
431650278,Yes,66711,0,139523,4.066427231
74628513,No,1,0,181440,6.297112465
148526370,Yes,49302,0,170932,5.173044682
742305861,No,1,0,181440,6.553276062
317620548,Yes,31599,0,56849,1.362048626
184560237,Yes,54497,0,166793,4.95460391
256314078,Yes,63170,0,121215,3.262971878
743618502,No,1,0,181440,6.370455027
,,,,,
Averages,,34386.1,,141992.4,4.437181044
,,,,,
A* Misplaced Tiles,,,,,
Starting State,Solution?,Depth,Path,Node Count,Time Elapsed
104352867,Yes,23,"['104352867', '140352867', '142350867', '142305867', '142035867', '142835067', '142835607', '142835670', '142830675', '142803675', '142873605', '142873065', '142073865', '142703865', '102743865', '120743865', '123740865', '123745860', '123745806', '123745086', '123045786', '123405786', '123450786', '123456780']",21028,1.027337551
41873652,Yes,18,"['041873652', '401873652', '410873652', '413870652', '413872650', '413872605', '413872065', '413072865', '413702865', '413720865', '413725860', '413725806', '413725086', '413025786', '013425786', '103425786', '123405786', '123450786', '123456780']",1957,0.084702969
431650278,Yes,23,"['431650278', '431605278', '401635278', '410635278', '415630278', '415603278', '415063278', '015463278', '105463278', '150463278', '153460278', '153406278', '103456278', '013456278', '413056278', '413256078', '413256708', '413206758', '413026758', '013426758', '103426758', '123406758', '123456708', '123456780']",21170,0.892976522
74628513,No,31,"['074628513', '674028513', '674528013', '674528103', '674528130', '674520138', '670524138', '607524138', '627504138', '627054138', '027654138', '207654138', '257604138', '257634108', '257634018', '257034618', '257304618', '257340618', '250347618', '205347618', '025347618', '325047618', '325407618', '325417608', '325417680', '325410687', '325401687', '325481607', '325481067', '325081467', '325801467', '305821467']",181440,11.00488496
148526370,Yes,26,"['148526370', '148520376', '148502376', '148572306', '148572036', '148072536', '148702536', '108742536', '180742536', '182740536', '182746530', '182746503', '182746053', '182046753', '182406753', '182460753', '182463750', '182463705', '182403765', '102483765', '120483765', '123480765', '123485760', '123485706', '123405786', '123450786', '123456780']",54217,2.624760866
742305861,No,30,"['742305861', '742365801', '742365081', '742065381', '742605381', '742650381', '740652381', '704652381', '074652381', '674052381', '674502381', '674520381', '674521380', '674521308', '674521038', '674021538', '674201538', '604271538', '640271538', '641270538', '641278530', '641278503', '641208573', '601248573', '610248573', '618240573', '618243570', '618243507', '618243057', '618043257', '018643257']",181440,11.04486489
317620548,Yes,23,"['317620548', '317602548', '317062548', '017362548', '107362548', '170362548', '172360548', '172306548', '172036548', '172536048', '172536408', '172536480', '172530486', '172503486', '102573486', '120573486', '123570486', '123576480', '123576408', '123506478', '123056478', '123456078', '123456708', '123456780']",20213,1.298244476
184560237,Yes,25,"['184560237', '180564237', '108564237', '168504237', '168534207', '168534270', '168530274', '160538274', '106538274', '136508274', '136578204', '136578024', '136078524', '136708524', '136728504', '136728540', '136720548', '130726548', '103726548', '123706548', '123746508', '123746058', '123046758', '123406758', '123456708', '123456780']",42071,2.138571739
256314078,Yes,20,"['256314078', '256014378', '256104378', '206154378', '026154378', '126054378', '126354078', '126354708', '126304758', '126034758', '026134758', '206134758', '236104758', '236140758', '230146758', '203146758', '023146758', '123046758', '123406758', '123456708', '123456780']",5552,0.247407913
743618502,No,31,"['743618502', '743618052', '743018652', '043718652', '403718652', '430718652', '438710652', '438701652', '438751602', '438751062', '438051762', '038451762', '308451762', '380451762', '381450762', '381452760', '381452706', '381452076', '381052476', '081352476', '801352476', '851302476', '851320476', '851326470', '851326407', '851326047', '851026347', '851206347', '851260347', '850261347', '805261347', '085261347']",181440,11.43655634
,,,,,
Averages,,25,,71052.8,4.180030823
,,,,,
A* Manhattan Distance,,,,,
Starting State,Solution?,Depth,Path,Node Count,Time Elapsed
104352867,Yes,23,"['104352867', '140352867', '142350867', '142305867', '142035867', '142835067', '142835607', '142835670', '142830675', '142803675', '142873605', '142873065', '142073865', '142703865', '102743865', '120743865', '123740865', '123745860', '123745806', '123745086', '123045786', '123405786', '123450786', '123456780']",2761,1.139054298
41873652,Yes,18,"['041873652', '401873652', '410873652', '413870652', '413872650', '413872605', '413872065', '413072865', '413702865', '413720865', '413725860', '413725806', '413725086', '413025786', '013425786', '103425786', '123405786', '123450786', '123456780']",237,0.100351572
431650278,Yes,23,"['431650278', '431605278', '401635278', '410635278', '415630278', '415603278', '415063278', '015463278', '105463278', '150463278', '153460278', '153406278', '103456278', '013456278', '413056278', '413256078', '413256708', '413206758', '413026758', '013426758', '103426758', '123406758', '123456708', '123456780']",4079,1.066001415
74628513,No,30,"['074628513', '674028513', '674528013', '674528103', '674508123', '674580123', '670584123', '607584123', '067584123', '567084123', '567804123', '567840123', '567843120', '567843102', '567843012', '567043812', '567403812', '567430812', '567432810', '567432801', '567402831', '507462831', '057462831', '457062831', '457862031', '457862301', '457862310', '457860312', '450867312', '405867312', '045867312']",181440,22.81812429
148526370,Yes,26,"['148526370', '148520376', '148502376', '148572306', '148572036', '148072536', '148702536', '108742536', '180742536', '182740536', '182746530', '182746503', '182746053', '182046753', '182406753', '182460753', '182463750', '182463705', '182403765', '102483765', '120483765', '123480765', '123485760', '123485706', '123405786', '123450786', '123456780']",5983,3.041491032
742305861,No,30,"['742305861', '742035861', '742835061', '742835601', '742835610', '742830615', '742803615', '742083615', '042783615', '402783615', '420783615', '423780615', '423708615', '423718605', '423718065', '423018765', '023418765', '203418765', '230418765', '238410765', '238401765', '238461705', '238461075', '238061475', '038261475', '308261475', '368201475', '368271405', '368271045', '368071245', '068371245']",181440,22.21687818
317620548,Yes,23,"['317620548', '317602548', '317062548', '017362548', '107362548', '170362548', '172360548', '172306548', '172036548', '172536048', '172536408', '172536480', '172530486', '172503486', '102573486', '120573486', '123570486', '123576480', '123576408', '123506478', '123056478', '123456078', '123456708', '123456780']",1326,1.514377832
184560237,Yes,25,"['184560237', '184506237', '104586237', '140586237', '146580237', '146508237', '106548237', '016548237', '516048237', '516408237', '516438207', '516438027', '516038427', '016538427', '106538427', '136508427', '136528407', '136528470', '136520478', '130526478', '103526478', '123506478', '123056478', '123456078', '123456708', '123456780']",5299,2.353242636
256314078,Yes,20,"['256314078', '256014378', '256104378', '206154378', '026154378', '126054378', '126354078', '126354708', '126304758', '126034758', '026134758', '206134758', '236104758', '236140758', '230146758', '203146758', '023146758', '123046758', '123406758', '123456708', '123456780']",1283,0.300838232
743618502,No,33,"['743618502', '743618052', '743018652', '743108652', '703148652', '730148652', '738140652', '738142650', '738142605', '738142065', '738042165', '738402165', '738420165', '738425160', '738425106', '738425016', '738025416', '038725416', '308725416', '328705416', '328075416', '028375416', '208375416', '280375416', '285370416', '285376410', '285376401', '285306471', '285360471', '285361470', '285361407', '285361047', '285061347', '085261347']",181440,22.66170692
,,,,,
Averages,,25.1,,56528.8,7.721206641
